no_of_dependents,income_annum,loan_amount,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,scaled_loan_term
4,5900000,20700000,825,11700000,7900000,21000000,8500000,9.444444444444445
3,4700000,9800000,444,8200000,300000,15700000,3800000,11.666666666666668
2,700000,2000000,806,1900000,1100000,2200000,400000,8.333333333333334
2,6700000,22700000,538,15300000,5800000,20400000,6400000,13.88888888888889
4,7600000,20800000,775,1900000,13600000,19200000,6400000,10.555555555555555
3,8800000,25100000,473,17200000,600000,24400000,12400000,8.333333333333334
4,5500000,14800000,354,16000000,3400000,21200000,7700000,9.444444444444445
1,1400000,3300000,321,900000,1500000,3000000,700000,13.88888888888889
0,2600000,7600000,470,700000,700000,5500000,2900000,13.88888888888889
3,4000000,8600000,667,11500000,6300000,15300000,3500000,6.111111111111111
3,3300000,13100000,554,6000000,2500000,6700000,3800000,5.0
0,6900000,17000000,599,18100000,9400000,26600000,4300000,15.0
4,7300000,17200000,831,18500000,4300000,23000000,5200000,13.88888888888889
4,9700000,26200000,518,26200000,0,22500000,14000000,6.111111111111111
5,2300000,6700000,612,6700000,3300000,8800000,2000000,12.777777777777779
4,7800000,17300000,394,3600000,13100000,24300000,7200000,6.111111111111111
4,2500000,8000000,464,4000000,3000000,9000000,3000000,8.333333333333334
0,6900000,26800000,515,10800000,2500000,16700000,8300000,15.0
3,9200000,35000000,716,1100000,10200000,33600000,11400000,6.111111111111111
0,5000000,16300000,737,2600000,3400000,11800000,4400000,10.555555555555555
4,4400000,14600000,499,1300000,6500000,16100000,5700000,6.111111111111111
5,2300000,9100000,644,4000000,2600000,6600000,3100000,12.777777777777779
4,4900000,12800000,691,200000,4900000,14700000,7000000,5.0
2,5200000,12900000,644,400000,5000000,12000000,7500000,13.88888888888889
0,5800000,12700000,528,8400000,7300000,19600000,7600000,10.555555555555555
4,7000000,24100000,677,18800000,6000000,21600000,6300000,9.444444444444445
0,600000,1600000,647,1500000,600000,1500000,700000,7.222222222222222
5,7500000,15800000,458,7800000,6500000,22400000,8400000,13.88888888888889
3,7900000,29200000,399,23200000,5500000,30200000,6900000,6.111111111111111
1,300000,1200000,342,800000,100000,1100000,200000,6.111111111111111
5,300000,600000,418,500000,200000,700000,200000,6.111111111111111
0,2500000,6700000,569,4500000,3400000,6200000,1300000,12.777777777777779
2,7800000,16900000,751,17400000,6300000,20400000,11700000,7.222222222222222
2,9000000,35700000,339,15200000,8400000,19500000,9000000,10.555555555555555
4,400000,800000,685,500000,300000,1300000,600000,12.777777777777779
0,3700000,12700000,797,1300000,1100000,12300000,3700000,11.666666666666668
1,6500000,20600000,306,15900000,1900000,18100000,3200000,5.0
3,2300000,8000000,300,4200000,3800000,7300000,1200000,8.333333333333334
3,3500000,13000000,391,6100000,3500000,13300000,4300000,7.222222222222222
1,600000,1200000,561,900000,300000,1400000,600000,9.444444444444445
1,3400000,9900000,736,3900000,4800000,10600000,4500000,5.0
2,1400000,4700000,355,2100000,600000,4400000,1400000,6.111111111111111
3,3200000,10100000,704,3400000,4800000,9000000,3900000,15.0
0,5000000,14400000,761,-100000,7300000,12600000,4500000,5.0
4,800000,3100000,712,400000,700000,1900000,1100000,13.88888888888889
2,3200000,10400000,556,8200000,5600000,11500000,4500000,9.444444444444445
5,200000,600000,396,0,0,500000,200000,12.777777777777779
5,3800000,10300000,606,7700000,1900000,9900000,2700000,12.777777777777779
4,9000000,21500000,508,16600000,17300000,24300000,13100000,11.666666666666668
5,9000000,31400000,677,12000000,10800000,20700000,8700000,5.0
0,7600000,18100000,439,12800000,5900000,29800000,10600000,12.777777777777779
0,300000,1100000,789,400000,100000,800000,400000,8.333333333333334
5,4600000,14500000,561,2300000,6200000,10200000,5800000,11.666666666666668
5,9500000,19200000,523,13500000,1500000,21000000,6700000,5.0
2,700000,1700000,839,100000,700000,2000000,900000,9.444444444444445
3,7700000,23100000,807,2900000,9800000,20400000,7000000,8.333333333333334
5,5800000,12400000,847,5100000,9000000,14100000,7600000,7.222222222222222
3,1700000,5300000,696,300000,700000,4500000,800000,11.666666666666668
3,8900000,24400000,774,11200000,6100000,31400000,7300000,9.444444444444445
1,7000000,27100000,591,6700000,12200000,21500000,4900000,7.222222222222222
4,2600000,8800000,682,4500000,4700000,10300000,1600000,9.444444444444445
5,9700000,28400000,494,5300000,12000000,24400000,10000000,6.111111111111111
5,3400000,11300000,871,6500000,3900000,9700000,2400000,15.0
3,5400000,14700000,359,12300000,9900000,15100000,6100000,6.111111111111111
1,6200000,19700000,820,11200000,3400000,15600000,4700000,13.88888888888889
4,300000,1100000,359,100000,0,1000000,200000,6.111111111111111
4,1400000,3700000,621,3100000,900000,5100000,1800000,10.555555555555555
2,7400000,22500000,834,6400000,12600000,15700000,6000000,12.777777777777779
4,7100000,28200000,496,6300000,10900000,27700000,4600000,11.666666666666668
3,6300000,13900000,748,17700000,8800000,21700000,8600000,13.88888888888889
1,6900000,22700000,394,3800000,4300000,27400000,8700000,12.777777777777779
3,1300000,3600000,624,2400000,2300000,3300000,1900000,12.777777777777779
4,2500000,9000000,394,6700000,2000000,7300000,3000000,9.444444444444445
2,3800000,10000000,516,2400000,4200000,14200000,5100000,10.555555555555555
3,7200000,21600000,626,10600000,1600000,26900000,3700000,5.0
1,6200000,19500000,448,3300000,7100000,22400000,8000000,15.0
2,8000000,31900000,806,19900000,1800000,23200000,5400000,12.777777777777779
3,6000000,16000000,606,2600000,11600000,19300000,7800000,10.555555555555555
1,500000,1400000,464,1100000,0,1900000,500000,7.222222222222222
0,2100000,5900000,402,4400000,0,4800000,1000000,11.666666666666668
3,2100000,6100000,346,5500000,600000,4500000,2900000,8.333333333333334
3,3300000,10400000,816,7100000,6300000,11800000,4900000,10.555555555555555
1,6100000,12900000,302,8900000,7500000,15600000,7200000,5.0
5,3100000,9600000,761,5800000,1800000,10400000,4200000,5.0
5,3200000,10600000,432,6500000,3700000,11200000,3700000,5.0
4,3200000,11600000,635,3300000,4600000,6500000,3900000,7.222222222222222
1,6800000,16800000,736,2000000,2600000,23800000,5600000,9.444444444444445
1,7900000,19100000,593,20800000,12200000,26100000,7800000,5.0
5,7700000,16800000,584,8600000,4800000,23400000,8000000,15.0
5,9400000,36800000,891,13900000,16600000,19300000,8900000,15.0
3,4900000,12700000,409,2000000,2500000,19300000,4700000,8.333333333333334
2,1900000,4600000,587,3000000,1300000,4800000,1100000,10.555555555555555
5,600000,1700000,879,1100000,100000,2300000,700000,15.0
4,9200000,29400000,517,4900000,0,33500000,10100000,11.666666666666668
5,7300000,21000000,759,15500000,8000000,20300000,10800000,11.666666666666668
1,1800000,4400000,689,3200000,2500000,3800000,1600000,8.333333333333334
3,300000,800000,458,500000,0,1100000,200000,5.0
3,4400000,15800000,779,7200000,5400000,14900000,3600000,13.88888888888889
5,6700000,17600000,843,12700000,200000,19500000,5600000,11.666666666666668
3,4100000,14600000,760,4700000,6600000,14900000,3000000,12.777777777777779
0,3900000,14600000,730,9200000,4000000,14600000,5400000,5.0
3,300000,500000,876,300000,100000,1100000,300000,7.222222222222222
0,700000,1400000,639,1900000,700000,2400000,900000,11.666666666666668
3,2500000,7700000,485,2000000,3600000,5600000,3200000,12.777777777777779
2,600000,1100000,800,1200000,200000,2300000,900000,9.444444444444445
3,5200000,11000000,830,8900000,5100000,16000000,7600000,10.555555555555555
5,500000,1200000,454,1400000,500000,1000000,300000,10.555555555555555
3,4400000,10900000,611,8600000,6300000,8800000,3000000,13.88888888888889
0,3300000,9600000,465,6100000,700000,9700000,2000000,8.333333333333334
4,500000,1300000,471,500000,300000,1500000,700000,8.333333333333334
1,1600000,5300000,713,1400000,1400000,4900000,1300000,6.111111111111111
4,1200000,2600000,872,1600000,2100000,2700000,900000,8.333333333333334
0,6600000,20300000,549,10800000,900000,23100000,9800000,7.222222222222222
4,6900000,18300000,715,8200000,600000,15000000,7500000,13.88888888888889
4,9100000,33000000,543,15700000,14400000,19500000,11200000,8.333333333333334
1,8000000,30900000,315,23500000,1200000,19500000,7300000,5.0
2,8100000,24700000,595,5500000,14300000,27300000,6500000,7.222222222222222
4,5500000,11600000,474,1800000,2400000,20100000,5600000,10.555555555555555
1,7900000,20800000,538,10000000,9700000,29900000,10600000,13.88888888888889
2,7300000,19100000,552,2000000,13400000,16800000,4000000,11.666666666666668
0,6700000,14900000,638,3300000,6900000,22300000,8100000,12.777777777777779
1,2400000,5800000,384,1700000,2500000,8400000,3100000,15.0
5,6600000,21400000,447,12700000,11100000,20200000,6400000,9.444444444444445
4,2200000,8600000,601,2700000,2900000,6700000,3300000,7.222222222222222
1,4100000,11100000,405,12000000,2900000,9000000,5900000,7.222222222222222
3,6500000,18200000,405,10400000,2800000,21300000,6700000,15.0
2,5100000,19700000,590,7400000,9300000,19400000,3400000,15.0
3,5300000,19600000,433,14700000,9900000,10800000,3000000,5.0
4,7400000,19400000,835,16400000,14200000,23500000,6500000,12.777777777777779
2,300000,900000,735,800000,400000,500000,100000,8.333333333333334
0,8200000,28800000,619,9000000,1100000,23000000,6300000,6.111111111111111
2,7100000,21400000,699,11400000,13400000,22600000,4800000,10.555555555555555
5,6100000,23500000,300,300000,700000,22800000,4800000,12.777777777777779
5,2000000,6900000,516,4600000,3400000,6500000,1600000,13.88888888888889
0,500000,1200000,556,900000,0,1800000,500000,11.666666666666668
3,900000,3100000,369,1400000,100000,1700000,500000,9.444444444444445
2,8700000,28000000,543,16900000,6000000,22900000,6700000,10.555555555555555
1,9400000,26700000,343,7600000,2500000,28600000,13200000,9.444444444444445
0,4800000,19000000,650,7000000,1000000,15600000,4800000,10.555555555555555
1,1200000,4800000,344,2900000,1700000,3200000,1300000,7.222222222222222
2,9400000,24800000,513,24200000,18200000,37200000,7500000,11.666666666666668
5,6900000,23900000,382,17100000,6900000,21500000,8900000,7.222222222222222
3,3300000,7500000,586,1600000,5600000,10500000,2900000,15.0
0,4500000,12200000,311,11200000,5000000,12700000,2400000,15.0
2,3100000,7300000,504,3200000,0,7200000,1500000,11.666666666666668
2,800000,2300000,342,2200000,1300000,1800000,800000,10.555555555555555
3,1000000,3700000,725,3000000,1300000,4000000,1300000,8.333333333333334
1,9200000,29700000,607,17800000,11800000,35700000,12000000,9.444444444444445
4,8600000,19200000,868,20400000,1500000,32800000,9300000,6.111111111111111
2,8600000,33300000,375,19600000,11200000,25500000,11200000,12.777777777777779
1,5300000,14600000,508,11200000,2800000,17000000,4600000,15.0
2,4600000,18400000,555,7700000,2400000,14200000,4200000,5.0
1,7400000,19200000,415,2200000,4800000,29200000,7000000,15.0
1,8000000,30600000,302,12700000,13100000,23900000,6800000,11.666666666666668
1,2100000,4200000,554,3400000,800000,6400000,1500000,13.88888888888889
4,8300000,25400000,624,22900000,4000000,24800000,5400000,6.111111111111111
4,5500000,21700000,867,5000000,8700000,15200000,3100000,11.666666666666668
1,2400000,8900000,835,2400000,1200000,5500000,1100000,8.333333333333334
2,8900000,29200000,608,10800000,5200000,33500000,11700000,8.333333333333334
0,2300000,6000000,756,2900000,2100000,7500000,1200000,12.777777777777779
2,7500000,15100000,488,19800000,0,28500000,6700000,8.333333333333334
5,1900000,6700000,622,4200000,200000,3900000,1700000,5.0
5,7600000,23000000,829,3100000,7300000,17600000,7300000,9.444444444444445
3,8300000,17700000,848,10500000,1100000,18700000,5900000,12.777777777777779
2,9600000,31200000,578,9900000,2200000,26500000,13500000,10.555555555555555
4,8600000,26700000,895,2200000,8800000,22600000,6900000,9.444444444444445
5,1300000,3000000,540,1000000,2300000,3200000,1900000,15.0
5,3000000,8900000,886,2600000,1000000,10600000,2800000,15.0
1,9900000,25700000,340,15600000,18800000,29500000,11800000,5.0
1,8600000,31500000,678,19700000,13400000,22200000,5300000,12.777777777777779
5,7000000,18400000,520,4700000,11900000,17000000,3800000,10.555555555555555
5,4400000,12500000,740,8200000,2300000,9900000,5400000,7.222222222222222
3,5600000,20900000,649,4000000,10700000,13000000,8200000,11.666666666666668
2,1800000,5700000,809,1200000,1900000,6300000,2400000,6.111111111111111
2,5600000,17200000,586,13700000,2100000,14300000,4300000,12.777777777777779
3,6100000,13500000,717,15700000,4200000,16100000,3400000,5.0
4,5000000,18000000,307,5300000,5600000,12800000,3300000,11.666666666666668
3,1900000,5300000,436,2300000,3500000,5000000,2600000,10.555555555555555
4,1600000,3200000,657,200000,100000,5700000,1200000,12.777777777777779
1,300000,1200000,747,100000,0,700000,200000,13.88888888888889
4,6400000,23500000,485,7300000,2700000,23600000,3900000,5.0
2,9000000,27300000,353,22600000,4400000,26900000,7200000,11.666666666666668
0,2400000,5000000,580,5900000,4400000,5500000,3200000,11.666666666666668
1,6200000,16900000,396,10600000,7500000,23700000,7600000,5.0
5,3200000,10000000,610,2900000,3800000,8600000,3500000,11.666666666666668
2,8200000,28700000,316,23300000,16100000,17700000,4300000,11.666666666666668
3,5900000,23200000,307,15500000,10000000,21100000,6300000,5.0
5,4500000,10200000,726,2900000,8600000,17500000,4200000,10.555555555555555
2,4300000,11800000,701,11600000,4600000,14200000,3300000,15.0
3,7000000,26300000,481,14300000,12800000,15100000,9900000,10.555555555555555
1,2900000,11100000,478,4200000,2900000,8500000,3000000,15.0
1,2200000,7000000,417,2000000,3900000,6500000,1900000,13.88888888888889
5,4200000,12300000,686,10500000,200000,15600000,4200000,5.0
2,5000000,10700000,753,12600000,9000000,11500000,5700000,5.0
1,2100000,4300000,896,100000,2300000,7500000,2300000,15.0
0,3600000,8700000,309,6300000,1000000,8600000,3300000,9.444444444444445
5,1000000,2600000,664,900000,1200000,3500000,900000,8.333333333333334
5,9300000,34000000,742,4200000,600000,32800000,8200000,7.222222222222222
4,9300000,36700000,808,16500000,14700000,26500000,7100000,15.0
1,4100000,12800000,780,8200000,700000,14100000,5800000,8.333333333333334
5,300000,800000,774,400000,200000,900000,400000,13.88888888888889
4,8200000,26900000,301,23800000,13600000,31000000,9900000,15.0
3,8200000,16500000,371,19000000,1200000,18500000,8200000,13.88888888888889
2,5100000,13700000,559,7800000,9800000,12700000,5100000,7.222222222222222
2,7300000,20000000,729,13100000,10700000,17900000,9100000,7.222222222222222
4,1500000,3100000,885,100000,2800000,3800000,1900000,7.222222222222222
1,8400000,24700000,519,12900000,16700000,17300000,6000000,8.333333333333334
4,1200000,4100000,585,900000,900000,2300000,900000,12.777777777777779
4,3100000,8100000,730,6300000,4500000,9000000,4500000,10.555555555555555
4,3900000,12000000,893,6000000,4700000,12900000,5200000,11.666666666666668
2,5800000,22800000,696,12100000,200000,20800000,4800000,11.666666666666668
4,5400000,12700000,622,11000000,3300000,15100000,6500000,6.111111111111111
0,4500000,9600000,471,3200000,7700000,11000000,3600000,11.666666666666668
3,8600000,32000000,497,11400000,3300000,18600000,4900000,6.111111111111111
2,6400000,16500000,544,12100000,6300000,15200000,5400000,8.333333333333334
2,7300000,28500000,799,21500000,3100000,15800000,4300000,9.444444444444445
1,4800000,11600000,696,1400000,9400000,11800000,6500000,12.777777777777779
4,4500000,15100000,693,3700000,1500000,17800000,6000000,7.222222222222222
0,8800000,23600000,712,400000,11300000,19300000,11100000,8.333333333333334
1,3200000,9000000,372,2700000,2800000,7200000,3800000,15.0
1,2900000,9600000,658,8200000,4300000,7000000,2700000,6.111111111111111
1,4100000,15800000,431,9700000,7300000,15200000,5700000,10.555555555555555
5,5700000,15000000,819,15500000,9800000,14100000,3400000,15.0
2,4500000,16600000,704,6400000,4200000,16900000,2400000,15.0
4,5400000,21500000,555,4300000,1500000,14300000,7500000,11.666666666666668
0,7900000,23500000,750,16800000,15300000,21200000,4000000,15.0
3,7600000,30000000,344,19000000,13700000,27600000,11100000,9.444444444444445
1,7900000,24000000,867,20500000,10000000,30700000,9400000,10.555555555555555
5,9700000,27600000,788,9400000,3100000,31800000,10600000,9.444444444444445
2,1800000,3600000,343,3400000,1100000,6200000,1500000,6.111111111111111
4,2200000,6100000,330,5500000,2900000,5000000,2200000,10.555555555555555
1,8100000,28400000,744,20300000,10500000,21800000,7700000,7.222222222222222
3,900000,2300000,747,1200000,200000,2900000,600000,7.222222222222222
4,9400000,25700000,845,27300000,4100000,26500000,12200000,11.666666666666668
1,6100000,19100000,341,5700000,5900000,12400000,6300000,7.222222222222222
3,7500000,25200000,316,1000000,800000,18300000,9000000,8.333333333333334
5,8800000,23100000,531,20800000,2600000,22100000,8000000,12.777777777777779
4,6600000,18800000,353,16500000,9500000,20000000,6200000,9.444444444444445
2,6700000,23100000,304,14400000,7100000,24300000,10000000,6.111111111111111
0,6300000,13300000,666,8800000,4000000,14200000,4900000,5.0
4,2700000,7000000,351,1100000,2300000,8300000,2700000,6.111111111111111
2,7600000,23600000,358,20200000,2900000,22100000,10900000,7.222222222222222
3,1300000,2900000,733,3800000,1900000,3800000,1800000,8.333333333333334
5,6300000,18100000,590,5400000,10900000,22400000,8600000,6.111111111111111
2,4300000,16000000,623,9800000,6700000,17000000,4500000,11.666666666666668
1,7100000,19300000,738,7200000,0,24300000,3600000,12.777777777777779
3,2300000,6800000,418,2800000,2700000,6300000,1400000,9.444444444444445
0,9000000,28400000,612,0,7200000,26900000,13200000,6.111111111111111
3,3200000,8200000,311,4900000,5600000,10700000,1600000,8.333333333333334
4,5500000,20000000,593,15100000,2700000,19900000,4900000,11.666666666666668
4,2900000,8300000,318,8700000,4100000,10900000,2100000,9.444444444444445
2,4300000,12200000,719,5100000,2600000,14000000,5700000,11.666666666666668
2,6200000,23400000,605,10000000,10800000,21800000,9200000,8.333333333333334
2,7900000,17100000,605,19200000,14100000,21900000,10400000,12.777777777777779
5,7000000,26900000,889,1400000,4200000,22400000,7400000,6.111111111111111
4,4400000,17200000,563,4100000,3700000,12700000,2900000,6.111111111111111
3,7200000,16500000,515,7800000,6300000,17300000,10600000,13.88888888888889
4,7000000,19600000,708,17600000,2600000,24300000,4500000,8.333333333333334
1,8300000,20400000,348,5600000,12500000,29100000,4700000,11.666666666666668
4,300000,600000,365,-100000,400000,600000,200000,7.222222222222222
3,6800000,21200000,433,10700000,1900000,23200000,6300000,5.0
5,1500000,5500000,414,800000,1400000,2900000,1200000,6.111111111111111
1,8800000,17500000,832,1800000,3600000,24000000,7400000,15.0
5,5300000,18200000,546,14600000,7900000,13400000,4000000,12.777777777777779
3,1300000,4300000,412,600000,900000,5200000,1200000,13.88888888888889
3,1500000,4100000,611,600000,2000000,4800000,2100000,11.666666666666668
2,7800000,19400000,549,18600000,13300000,24100000,6900000,12.777777777777779
0,2500000,9100000,852,5000000,4700000,7400000,1500000,9.444444444444445
3,5400000,19400000,731,13800000,3200000,20000000,4300000,15.0
1,1600000,4900000,487,4300000,1100000,3900000,2000000,12.777777777777779
4,3900000,8800000,527,4600000,4900000,14900000,3100000,11.666666666666668
2,8500000,31800000,714,17000000,900000,26600000,5600000,7.222222222222222
0,9500000,26000000,732,22500000,15600000,20400000,9300000,5.0
2,3900000,13900000,715,5000000,5600000,9900000,2100000,13.88888888888889
0,7000000,26400000,610,14300000,0,13900000,5300000,11.666666666666668
3,1800000,5300000,440,2000000,100000,3700000,1000000,11.666666666666668
0,4600000,15100000,417,5600000,3900000,11800000,6600000,5.0
1,7200000,24900000,666,3600000,11600000,16600000,5800000,11.666666666666668
3,8200000,28900000,668,23800000,4500000,28700000,10900000,9.444444444444445
0,6600000,18500000,802,14600000,1100000,21800000,9700000,12.777777777777779
5,2300000,5700000,329,5600000,3300000,4900000,2700000,13.88888888888889
4,1700000,4900000,843,4800000,2200000,6200000,1800000,13.88888888888889
0,4100000,12800000,799,3700000,700000,9400000,2700000,8.333333333333334
2,9500000,36800000,493,24100000,13800000,32100000,6200000,7.222222222222222
1,200000,500000,856,500000,200000,500000,200000,9.444444444444445
2,7900000,18500000,727,20200000,12400000,19600000,7100000,13.88888888888889
0,9500000,28400000,577,6200000,10300000,30200000,14100000,13.88888888888889
0,2700000,8400000,610,900000,1900000,6100000,2800000,11.666666666666668
1,2600000,9900000,594,2900000,4300000,6700000,2500000,7.222222222222222
3,6900000,18500000,360,14000000,0,18800000,9600000,7.222222222222222
3,600000,1800000,843,1400000,300000,1700000,400000,6.111111111111111
4,5100000,14000000,459,9800000,0,10400000,6800000,10.555555555555555
5,3200000,7400000,583,9400000,5500000,10600000,3600000,10.555555555555555
2,7500000,22400000,695,8100000,3900000,15300000,9400000,11.666666666666668
0,7400000,25500000,463,2300000,5600000,26800000,8400000,7.222222222222222
4,3700000,7600000,794,9500000,7300000,12100000,4500000,11.666666666666668
4,3800000,8500000,416,6200000,4800000,14900000,4100000,9.444444444444445
0,3500000,10000000,709,5300000,1800000,9200000,5000000,11.666666666666668
0,9800000,38700000,611,6600000,10400000,33000000,6000000,5.0
5,2200000,8100000,409,300000,0,4900000,2400000,6.111111111111111
0,8600000,17700000,711,22000000,0,30800000,7400000,15.0
0,9600000,23800000,788,9900000,14400000,21200000,10400000,10.555555555555555
4,7600000,23900000,672,2500000,1600000,20200000,6700000,8.333333333333334
5,5000000,14600000,509,11800000,2500000,19800000,4900000,13.88888888888889
4,4500000,15800000,439,8900000,6900000,15200000,4400000,11.666666666666668
3,7800000,17700000,876,15600000,15200000,25100000,10800000,7.222222222222222
5,6300000,20500000,515,4300000,3600000,18300000,9100000,11.666666666666668
5,1900000,4900000,442,3200000,2100000,5800000,900000,6.111111111111111
3,2500000,7700000,768,4500000,400000,8000000,2600000,9.444444444444445
5,9700000,24700000,648,15100000,600000,25200000,6800000,13.88888888888889
5,2300000,4900000,529,6200000,3900000,9200000,2000000,6.111111111111111
4,9500000,31800000,519,5900000,1300000,28400000,12200000,7.222222222222222
4,7200000,19100000,774,9400000,7000000,17900000,3600000,6.111111111111111
0,7800000,19000000,333,15400000,14900000,30600000,9600000,10.555555555555555
3,8700000,29300000,312,9000000,2800000,30000000,4900000,6.111111111111111
2,2400000,7700000,719,6000000,1700000,6700000,1600000,7.222222222222222
1,4700000,15000000,835,2100000,2500000,10100000,3800000,15.0
0,3900000,9600000,783,9900000,2100000,10900000,3900000,9.444444444444445
0,7900000,22700000,508,6600000,7000000,31600000,8900000,13.88888888888889
4,8300000,24600000,382,1400000,1200000,16700000,6600000,5.0
3,5500000,11600000,745,9400000,8000000,12800000,5400000,7.222222222222222
4,1400000,4800000,411,1400000,300000,4400000,1600000,7.222222222222222
4,8600000,27900000,458,22400000,1800000,34000000,11700000,8.333333333333334
4,4300000,11400000,560,10000000,3900000,8900000,3300000,5.0
0,5500000,17100000,353,400000,200000,17100000,5200000,8.333333333333334
4,7100000,28300000,850,5600000,7100000,26000000,9700000,7.222222222222222
0,8100000,17600000,384,15200000,13300000,31700000,10200000,12.777777777777779
4,7900000,27300000,560,23100000,14400000,28500000,10900000,9.444444444444445
4,6600000,17300000,793,16700000,1400000,17500000,3900000,11.666666666666668
4,5600000,20300000,596,5100000,10900000,12700000,7900000,15.0
0,8900000,27700000,372,18200000,14900000,33700000,6100000,7.222222222222222
5,7900000,27800000,857,23300000,12500000,17200000,10600000,12.777777777777779
0,8400000,27200000,514,2500000,6400000,20100000,7200000,9.444444444444445
0,6100000,15900000,456,12900000,10800000,19100000,8800000,13.88888888888889
3,6500000,22400000,488,16800000,11700000,21700000,6800000,7.222222222222222
5,600000,1400000,877,1400000,400000,2000000,700000,9.444444444444445
5,6800000,20500000,578,500000,11800000,27200000,3400000,9.444444444444445
4,2600000,9400000,481,2700000,4400000,8600000,2400000,13.88888888888889
5,9700000,27400000,328,0,18400000,22000000,7900000,5.0
5,6100000,22500000,776,17600000,9900000,13800000,4800000,7.222222222222222
2,8600000,21700000,429,5500000,10800000,30900000,6000000,6.111111111111111
5,9000000,32800000,773,10600000,4100000,18900000,11500000,6.111111111111111
2,8500000,18900000,478,23800000,16300000,25900000,11400000,13.88888888888889
3,5800000,14100000,738,11700000,4400000,15400000,8400000,10.555555555555555
5,7200000,21300000,801,9900000,1700000,20400000,7200000,5.0
1,3500000,10800000,632,6900000,1500000,10900000,4200000,11.666666666666668
1,3900000,8700000,817,900000,2500000,10700000,2100000,8.333333333333334
0,1900000,5000000,312,4000000,2800000,4900000,2400000,10.555555555555555
1,8900000,20000000,653,12700000,600000,17800000,9900000,5.0
0,4800000,15100000,848,1300000,300000,18800000,3500000,7.222222222222222
2,5500000,19000000,597,1100000,4000000,18700000,5300000,6.111111111111111
